Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,male,skilled,own,unknown/ no savings account,< 0 DM,1169,6,radio/television,good
22,female,skilled,own,< 100 DM,0 <= ... < 200 DM,5951,48,radio/television,bad
49,male,unskilled and resident,own,< 100 DM,no checking account,2096,12,education,good
45,male,skilled,free,< 100 DM,< 0 DM,7882,42,furniture/equipment,good
53,male,skilled,free,< 100 DM,< 0 DM,4870,24,car (new),bad
35,male,unskilled and resident,free,unknown/ no savings account,no checking account,9055,36,education,good
53,male,skilled,own,500 <= ... < 1000 DM,no checking account,2835,24,furniture/equipment,good
35,male,highly qualified,rent,< 100 DM,0 <= ... < 200 DM,6948,36,car (used),good
61,male,unskilled and resident,own,>= 1000 DM,no checking account,3059,12,radio/television,good
28,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,5234,30,car (new),bad
25,female,skilled,rent,< 100 DM,0 <= ... < 200 DM,1295,12,car (new),bad
24,female,skilled,rent,< 100 DM,< 0 DM,4308,48,business,bad
22,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1567,12,radio/television,good
60,male,unskilled and resident,own,< 100 DM,< 0 DM,1199,24,car (new),bad
28,female,skilled,rent,< 100 DM,< 0 DM,1403,15,car (new),good
32,female,unskilled and resident,own,100 <= ... < 500 DM,< 0 DM,1282,24,radio/television,bad
53,male,skilled,own,unknown/ no savings account,no checking account,2424,24,radio/television,good
25,male,skilled,own,unknown/ no savings account,< 0 DM,8072,30,business,good
44,female,highly qualified,free,< 100 DM,0 <= ... < 200 DM,12579,24,car (used),bad
31,male,skilled,own,500 <= ... < 1000 DM,no checking account,3430,24,radio/television,good
48,male,skilled,own,< 100 DM,no checking account,2134,9,car (new),good
44,male,skilled,rent,500 <= ... < 1000 DM,< 0 DM,2647,6,radio/television,good
48,male,unskilled and resident,rent,< 100 DM,< 0 DM,2241,10,car (new),good
44,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1804,12,car (used),good
26,male,skilled,own,unknown/ no savings account,no checking account,2069,10,furniture/equipment,good
36,male,unskilled and resident,own,< 100 DM,< 0 DM,1374,6,furniture/equipment,good
39,male,unskilled and resident,own,< 100 DM,no checking account,426,6,radio/television,good
42,female,skilled,rent,>= 1000 DM,>= 200 DM / salary assignments for at least 1 year,409,12,radio/television,good
34,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2415,7,radio/television,good
63,male,skilled,own,< 100 DM,< 0 DM,6836,60,business,bad
36,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1913,18,business,good
27,male,skilled,own,< 100 DM,< 0 DM,4020,24,furniture/equipment,good
30,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,5866,18,car (new),good
57,male,unskilled and resident,rent,unknown/ no savings account,no checking account,1264,12,business,good
33,female,highly qualified,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1474,12,furniture/equipment,good
25,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,4746,45,radio/television,bad
31,male,skilled,free,< 100 DM,no checking account,6110,48,education,good
37,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2100,18,radio/television,bad
37,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1225,10,domestic appliances,good
24,male,skilled,own,< 100 DM,0 <= ... < 200 DM,458,9,radio/television,good
30,male,highly qualified,own,500 <= ... < 1000 DM,no checking account,2333,30,radio/television,good
26,male,skilled,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,1158,12,radio/television,good
44,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,6204,18,repairs,good
24,male,skilled,rent,100 <= ... < 500 DM,< 0 DM,6187,30,car (used),good
58,female,unskilled and resident,free,< 100 DM,< 0 DM,6143,48,car (used),bad
35,female,highly qualified,own,< 100 DM,no checking account,1393,11,car (new),good
39,male,skilled,own,500 <= ... < 1000 DM,no checking account,2299,36,radio/television,good
23,female,unskilled and non-resident,rent,500 <= ... < 1000 DM,< 0 DM,1352,6,car (used),good
39,male,unskilled and resident,own,< 100 DM,no checking account,7228,11,car (new),good
28,female,skilled,own,100 <= ... < 500 DM,no checking account,2073,12,radio/television,good
29,male,unskilled and resident,own,unknown/ no savings account,0 <= ... < 200 DM,2333,24,furniture/equipment,good
30,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,5965,27,car (used),good
25,male,skilled,own,< 100 DM,no checking account,1262,12,radio/television,good
31,male,skilled,own,unknown/ no savings account,no checking account,3378,18,car (used),good
57,male,skilled,free,< 100 DM,0 <= ... < 200 DM,2225,36,car (new),bad
26,male,unskilled and resident,own,unknown/ no savings account,no checking account,783,6,car (new),good
52,male,highly qualified,own,unknown/ no savings account,0 <= ... < 200 DM,6468,12,radio/television,bad
31,female,skilled,own,< 100 DM,no checking account,9566,36,radio/television,good
23,female,highly qualified,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1961,18,car (new),good
23,female,unskilled and resident,rent,< 100 DM,< 0 DM,6229,36,furniture/equipment,bad
27,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1391,9,business,good
50,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1537,15,radio/television,good
61,male,highly qualified,free,< 100 DM,0 <= ... < 200 DM,1953,36,business,bad
25,male,skilled,own,< 100 DM,0 <= ... < 200 DM,14421,48,business,bad
26,female,skilled,own,< 100 DM,no checking account,3181,24,radio/television,good
48,male,skilled,own,unknown/ no savings account,no checking account,5190,27,repairs,good
29,female,skilled,own,< 100 DM,no checking account,2171,12,radio/television,good
22,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1007,12,car (new),good
37,male,skilled,free,< 100 DM,no checking account,1819,36,education,bad
25,female,skilled,own,unknown/ no savings account,no checking account,2394,36,radio/television,good
30,female,skilled,own,< 100 DM,no checking account,8133,36,car (used),good
46,male,unskilled and resident,rent,unknown/ no savings account,no checking account,730,7,radio/television,good
51,male,highly qualified,free,< 100 DM,< 0 DM,1164,8,others,good
41,female,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,5954,42,business,good
40,male,highly qualified,own,unknown/ no savings account,< 0 DM,1977,36,education,bad
66,male,highly qualified,free,< 100 DM,< 0 DM,1526,12,car (used),good
34,male,skilled,own,< 100 DM,< 0 DM,3965,42,radio/television,bad
51,male,skilled,own,< 100 DM,0 <= ... < 200 DM,4771,11,radio/television,good
39,male,unskilled and resident,own,unknown/ no savings account,no checking account,9436,54,car (used),good
22,male,skilled,own,< 100 DM,0 <= ... < 200 DM,3832,30,furniture/equipment,good
44,female,skilled,own,unknown/ no savings account,no checking account,5943,24,radio/television,bad
47,male,skilled,own,500 <= ... < 1000 DM,no checking account,1213,15,radio/television,good
24,female,unskilled and resident,rent,100 <= ... < 500 DM,no checking account,1568,18,business,good
58,female,unskilled and resident,own,< 100 DM,< 0 DM,1755,24,others,good
52,male,unskilled and resident,own,< 100 DM,< 0 DM,2315,10,radio/television,good
29,female,highly qualified,own,< 100 DM,no checking account,1412,12,business,good
27,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1295,18,furniture/equipment,good
47,male,skilled,free,100 <= ... < 500 DM,0 <= ... < 200 DM,12612,36,education,bad
30,male,highly qualified,own,100 <= ... < 500 DM,< 0 DM,2249,18,car (new),good
28,male,skilled,own,< 100 DM,< 0 DM,1108,12,repairs,bad
56,male,skilled,own,< 100 DM,no checking account,618,12,radio/television,good
54,male,skilled,own,< 100 DM,< 0 DM,1409,12,car (used),good
33,female,unskilled and resident,own,unknown/ no savings account,no checking account,797,12,radio/television,bad
20,male,skilled,rent,unknown/ no savings account,>= 200 DM / salary assignments for at least 1 year,3617,24,furniture/equipment,good
54,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1318,12,car (new),good
58,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,15945,54,business,bad
61,female,skilled,own,unknown/ no savings account,no checking account,2012,12,education,good
34,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,2622,18,business,good
36,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2337,36,radio/television,good
36,male,highly qualified,rent,unknown/ no savings account,0 <= ... < 200 DM,7057,20,car (used),good
41,male,unskilled and resident,rent,100 <= ... < 500 DM,no checking account,1469,24,car (new),good
24,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,2323,36,radio/television,good
24,female,skilled,own,< 100 DM,no checking account,932,6,radio/television,good
35,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,1919,9,furniture/equipment,good
26,male,skilled,rent,unknown/ no savings account,no checking account,2445,12,car (used),good
39,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,11938,24,others,bad
39,male,highly qualified,own,< 100 DM,no checking account,6458,18,car (new),bad
32,male,skilled,own,< 100 DM,0 <= ... < 200 DM,6078,12,car (new),good
30,female,skilled,own,unknown/ no savings account,< 0 DM,7721,24,furniture/equipment,good
35,male,skilled,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,1410,14,business,good
31,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1449,6,business,good
23,female,skilled,rent,< 100 DM,>= 200 DM / salary assignments for at least 1 year,392,15,education,good
28,male,unskilled and resident,rent,< 100 DM,0 <= ... < 200 DM,6260,18,car (new),good
25,female,skilled,own,< 100 DM,no checking account,7855,36,car (new),bad
35,male,skilled,own,500 <= ... < 1000 DM,< 0 DM,1680,12,radio/television,good
47,male,skilled,own,unknown/ no savings account,no checking account,3578,48,radio/television,good
30,female,highly qualified,own,unknown/ no savings account,< 0 DM,7174,42,radio/television,bad
27,female,skilled,rent,unknown/ no savings account,< 0 DM,2132,10,furniture/equipment,good
23,female,skilled,own,500 <= ... < 1000 DM,< 0 DM,4281,33,furniture/equipment,bad
36,male,highly qualified,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,2366,12,car (new),good
25,female,skilled,own,< 100 DM,< 0 DM,1835,21,radio/television,bad
41,female,highly qualified,rent,< 100 DM,no checking account,3868,24,car (used),good
24,male,unskilled and resident,rent,< 100 DM,no checking account,1768,12,furniture/equipment,good
63,male,skilled,free,< 100 DM,>= 200 DM / salary assignments for at least 1 year,781,10,car (new),good
27,female,skilled,rent,unknown/ no savings account,0 <= ... < 200 DM,1924,18,furniture/equipment,bad
30,male,skilled,own,< 100 DM,< 0 DM,2121,12,car (new),good
40,male,unskilled and resident,own,< 100 DM,< 0 DM,701,12,radio/television,good
30,male,skilled,own,< 100 DM,0 <= ... < 200 DM,639,12,repairs,bad
34,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,1860,12,car (used),good
29,female,skilled,own,< 100 DM,< 0 DM,3499,12,car (new),bad
24,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,8487,48,car (new),good
29,male,skilled,own,< 100 DM,< 0 DM,6887,36,education,bad
27,male,unskilled and resident,own,< 100 DM,no checking account,2708,15,furniture/equipment,good
47,male,skilled,free,< 100 DM,no checking account,1984,18,furniture/equipment,good
21,female,skilled,own,100 <= ... < 500 DM,no checking account,10144,60,radio/television,good
38,female,skilled,own,unknown/ no savings account,no checking account,1240,12,radio/television,good
27,male,skilled,own,>= 1000 DM,no checking account,8613,27,car (used),good
66,male,unskilled and resident,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,766,12,radio/television,bad
35,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2728,15,radio/television,good
44,female,unskilled and resident,rent,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1881,12,radio/television,good
27,male,unskilled and non-resident,own,>= 1000 DM,>= 200 DM / salary assignments for at least 1 year,709,6,car (new),good
30,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,4795,36,radio/television,good
27,male,highly qualified,own,< 100 DM,< 0 DM,3416,27,radio/television,good
22,male,skilled,own,< 100 DM,< 0 DM,2462,18,furniture/equipment,bad
23,female,skilled,own,< 100 DM,no checking account,2288,21,furniture/equipment,good
30,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,3566,48,business,good
39,female,skilled,own,< 100 DM,< 0 DM,860,6,car (new),good
51,female,skilled,own,100 <= ... < 500 DM,no checking account,682,12,car (new),good
28,male,skilled,own,< 100 DM,< 0 DM,5371,36,furniture/equipment,good
46,male,skilled,own,>= 1000 DM,no checking account,1582,18,radio/television,good
42,male,skilled,free,100 <= ... < 500 DM,no checking account,1346,6,radio/television,good
38,male,skilled,own,< 100 DM,no checking account,1924,10,radio/television,good
24,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,5848,36,radio/television,good
29,female,skilled,rent,>= 1000 DM,0 <= ... < 200 DM,7758,24,car (used),good
36,male,highly qualified,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,6967,24,business,good
20,female,skilled,rent,< 100 DM,< 0 DM,1282,12,furniture/equipment,bad
48,male,skilled,own,100 <= ... < 500 DM,< 0 DM,1288,9,repairs,good
45,male,unskilled and resident,own,< 100 DM,< 0 DM,339,12,retraining,good
38,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,3512,24,car (new),good
34,male,unskilled and resident,own,unknown/ no savings account,no checking account,1898,6,radio/television,good
36,male,skilled,own,100 <= ... < 500 DM,no checking account,2872,24,radio/television,good
30,female,skilled,own,< 100 DM,no checking account,1055,18,car (new),good
36,male,skilled,own,500 <= ... < 1000 DM,no checking account,1262,15,domestic appliances,good
70,male,highly qualified,free,< 100 DM,0 <= ... < 200 DM,7308,10,car (new),good
36,male,skilled,own,500 <= ... < 1000 DM,no checking account,909,36,car (new),good
32,male,skilled,own,500 <= ... < 1000 DM,no checking account,2978,6,furniture/equipment,good
33,female,skilled,own,< 100 DM,< 0 DM,1131,18,furniture/equipment,bad
20,female,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1577,11,furniture/equipment,good
25,female,skilled,rent,< 100 DM,no checking account,3972,24,furniture/equipment,good
31,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1935,24,business,bad
33,male,skilled,rent,< 100 DM,< 0 DM,950,15,car (new),bad
26,female,skilled,own,< 100 DM,no checking account,763,12,furniture/equipment,good
34,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,2064,24,furniture/equipment,bad
33,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1414,8,radio/television,good
26,male,skilled,own,< 100 DM,< 0 DM,3414,21,education,bad
53,female,highly qualified,own,unknown/ no savings account,no checking account,7485,30,car (used),bad
42,male,skilled,own,< 100 DM,< 0 DM,2577,12,furniture/equipment,good
52,male,skilled,own,500 <= ... < 1000 DM,< 0 DM,338,6,radio/television,good
31,male,highly qualified,rent,< 100 DM,no checking account,1963,12,radio/television,good
65,male,skilled,own,< 100 DM,< 0 DM,571,21,car (new),good
28,male,skilled,own,< 100 DM,no checking account,9572,36,business,bad
30,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,4455,36,business,bad
40,male,unskilled and resident,own,unknown/ no savings account,< 0 DM,1647,21,car (new),bad
50,male,skilled,own,>= 1000 DM,no checking account,3777,24,furniture/equipment,good
36,male,skilled,own,< 100 DM,0 <= ... < 200 DM,884,18,car (new),bad
31,male,skilled,own,< 100 DM,no checking account,1360,15,radio/television,good
74,female,highly qualified,free,< 100 DM,0 <= ... < 200 DM,5129,9,car (used),bad
68,male,unskilled and non-resident,free,< 100 DM,0 <= ... < 200 DM,1175,16,car (new),good
20,male,skilled,own,100 <= ... < 500 DM,< 0 DM,674,12,radio/television,bad
33,female,skilled,own,< 100 DM,0 <= ... < 200 DM,3244,18,furniture/equipment,good
54,male,highly qualified,own,>= 1000 DM,no checking account,4591,24,business,bad
34,male,unskilled and resident,free,100 <= ... < 500 DM,0 <= ... < 200 DM,3844,48,business,bad
36,male,skilled,own,< 100 DM,0 <= ... < 200 DM,3915,27,business,bad
29,male,skilled,rent,< 100 DM,no checking account,2108,6,radio/television,good
21,male,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,3031,45,radio/television,bad
34,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,1501,9,education,bad
28,female,skilled,own,< 100 DM,no checking account,1382,6,radio/television,good
27,female,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,951,12,furniture/equipment,bad
36,male,skilled,free,unknown/ no savings account,0 <= ... < 200 DM,2760,24,car (used),good
40,male,highly qualified,own,< 100 DM,0 <= ... < 200 DM,4297,18,furniture/equipment,bad
52,male,skilled,own,500 <= ... < 1000 DM,no checking account,936,9,education,good
27,male,unskilled and resident,own,< 100 DM,< 0 DM,1168,12,car (new),good
26,male,skilled,own,< 100 DM,no checking account,5117,27,business,good
21,male,skilled,rent,< 100 DM,< 0 DM,902,12,retraining,bad
38,male,unskilled and resident,own,< 100 DM,no checking account,1495,12,car (new),good
38,male,highly qualified,free,< 100 DM,< 0 DM,10623,30,car (used),good
43,male,skilled,own,< 100 DM,no checking account,1935,12,furniture/equipment,good
26,male,skilled,own,< 100 DM,0 <= ... < 200 DM,1424,12,domestic appliances,good
21,male,unskilled and resident,own,< 100 DM,< 0 DM,6568,24,business,good
55,male,skilled,own,>= 1000 DM,no checking account,1413,12,car (used),good
33,male,skilled,own,unknown/ no savings account,no checking account,3074,9,radio/television,good
45,female,unskilled and resident,own,unknown/ no savings account,no checking account,3835,36,radio/television,good
50,male,skilled,own,< 100 DM,< 0 DM,5293,27,business,bad
66,male,highly qualified,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1908,30,business,bad
51,male,skilled,own,unknown/ no savings account,no checking account,3342,36,radio/television,good
39,female,unskilled and resident,own,unknown/ no savings account,0 <= ... < 200 DM,932,6,retraining,good
31,male,skilled,own,< 100 DM,< 0 DM,3104,18,business,good
23,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,3913,36,radio/television,good
24,male,unskilled and resident,rent,< 100 DM,< 0 DM,3021,24,furniture/equipment,good
64,female,skilled,own,< 100 DM,no checking account,1364,10,car (new),good
26,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,625,12,radio/television,good
23,female,skilled,rent,unknown/ no savings account,< 0 DM,1200,12,education,good
30,male,skilled,own,< 100 DM,no checking account,707,12,radio/television,good
32,male,skilled,own,unknown/ no savings account,no checking account,2978,24,business,good
30,male,skilled,own,< 100 DM,no checking account,4657,15,car (used),good
27,male,skilled,own,< 100 DM,no checking account,2613,36,repairs,good
27,male,skilled,own,>= 1000 DM,0 <= ... < 200 DM,10961,48,radio/television,bad
53,male,highly qualified,free,< 100 DM,< 0 DM,7865,12,furniture/equipment,bad
22,male,skilled,own,< 100 DM,no checking account,1478,9,radio/television,bad
22,male,skilled,free,< 100 DM,< 0 DM,3149,24,furniture/equipment,good
26,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,4210,36,radio/television,bad
51,male,unskilled and resident,free,500 <= ... < 1000 DM,no checking account,2507,9,car (new),good
35,male,skilled,own,100 <= ... < 500 DM,no checking account,2141,12,radio/television,good
25,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,866,18,radio/television,good
42,male,unskilled and resident,own,< 100 DM,no checking account,1544,4,radio/television,good
30,male,highly qualified,own,< 100 DM,< 0 DM,1823,24,radio/television,bad
23,male,unskilled and non-resident,own,unknown/ no savings account,0 <= ... < 200 DM,14555,6,car (new),bad
61,male,unskilled and resident,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,2767,21,business,bad
35,female,skilled,own,< 100 DM,no checking account,1291,12,radio/television,good
39,male,skilled,own,< 100 DM,< 0 DM,2522,30,radio/television,good
29,female,skilled,own,unknown/ no savings account,< 0 DM,915,24,car (new),bad
51,male,skilled,own,< 100 DM,no checking account,1595,6,radio/television,good
24,male,skilled,free,< 100 DM,< 0 DM,4605,48,car (used),bad
27,female,skilled,own,< 100 DM,no checking account,1185,12,business,good
35,female,unskilled and resident,own,500 <= ... < 1000 DM,no checking account,3447,12,retraining,good
25,male,skilled,own,< 100 DM,no checking account,1258,24,business,good
52,male,skilled,own,< 100 DM,no checking account,717,12,radio/television,good
35,male,skilled,rent,100 <= ... < 500 DM,no checking account,1204,6,car (new),good
26,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1925,24,furniture/equipment,good
22,female,skilled,rent,< 100 DM,no checking account,433,18,radio/television,bad
