Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
37,female,unskilled and resident,own,< 100 DM,< 0 DM,1274,12,car (new),bad
26,male,skilled,own,unknown/ no savings account,no checking account,5248,21,car (used),good
33,male,skilled,own,< 100 DM,no checking account,3029,15,car (used),good
49,female,skilled,own,< 100 DM,< 0 DM,428,6,furniture/equipment,good
23,female,unskilled and resident,own,< 100 DM,< 0 DM,976,18,car (new),bad
23,female,unskilled and resident,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,841,12,business,good
25,female,skilled,own,< 100 DM,no checking account,5771,30,radio/television,good
55,male,skilled,free,>= 1000 DM,no checking account,1555,12,repairs,bad
32,female,skilled,rent,unknown/ no savings account,< 0 DM,1285,24,car (new),bad
74,male,unskilled and non-resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1299,6,car (new),good
39,male,skilled,free,unknown/ no savings account,>= 200 DM / salary assignments for at least 1 year,1271,15,radio/television,bad
31,male,skilled,own,< 100 DM,no checking account,1393,24,car (new),good
35,male,skilled,own,< 100 DM,< 0 DM,691,12,car (new),bad
59,female,skilled,own,unknown/ no savings account,no checking account,5045,15,car (new),good
24,female,skilled,rent,< 100 DM,< 0 DM,2124,18,furniture/equipment,bad
24,male,unskilled and resident,own,< 100 DM,< 0 DM,2214,12,radio/television,good
30,male,highly qualified,free,unknown/ no savings account,no checking account,12680,21,car (new),bad
27,male,skilled,own,100 <= ... < 500 DM,no checking account,2463,24,car (new),good
40,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1155,12,radio/television,good
31,male,unskilled and resident,own,< 100 DM,< 0 DM,3108,30,furniture/equipment,bad
31,female,skilled,rent,unknown/ no savings account,no checking account,2901,10,car (used),good
28,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,3617,12,furniture/equipment,good
63,male,unskilled and resident,own,< 100 DM,no checking account,1655,12,radio/television,good
26,female,skilled,rent,unknown/ no savings account,< 0 DM,2812,24,car (used),good
25,female,highly qualified,own,< 100 DM,< 0 DM,8065,36,education,bad
36,male,highly qualified,own,< 100 DM,no checking account,3275,21,car (used),good
52,male,skilled,own,100 <= ... < 500 DM,no checking account,2223,24,radio/television,good
66,male,unskilled and non-resident,free,500 <= ... < 1000 DM,>= 200 DM / salary assignments for at least 1 year,1480,12,car (new),good
25,female,skilled,rent,unknown/ no savings account,< 0 DM,1371,24,car (new),bad
37,male,skilled,own,< 100 DM,no checking account,3535,36,car (new),good
25,female,skilled,own,< 100 DM,< 0 DM,3509,18,radio/television,good
38,male,highly qualified,own,>= 1000 DM,no checking account,5711,36,car (used),good
67,female,skilled,own,< 100 DM,0 <= ... < 200 DM,3872,18,repairs,good
25,male,skilled,own,< 100 DM,0 <= ... < 200 DM,4933,39,radio/television,bad
60,male,skilled,own,>= 1000 DM,no checking account,1940,24,car (new),good
31,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1410,12,retraining,good
23,female,unskilled and resident,own,100 <= ... < 500 DM,0 <= ... < 200 DM,836,12,car (new),bad
60,male,highly qualified,own,unknown/ no savings account,0 <= ... < 200 DM,6468,20,car (used),good
35,male,unskilled and resident,own,>= 1000 DM,0 <= ... < 200 DM,1941,18,business,good
40,male,skilled,own,500 <= ... < 1000 DM,no checking account,2675,22,radio/television,good
38,male,skilled,own,unknown/ no savings account,no checking account,2751,48,car (used),good
50,male,skilled,free,< 100 DM,0 <= ... < 200 DM,6224,48,education,bad
27,male,skilled,own,< 100 DM,< 0 DM,5998,40,education,bad
39,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1188,21,business,bad
41,male,highly qualified,own,unknown/ no savings account,no checking account,6313,24,car (used),good
27,male,skilled,own,unknown/ no savings account,no checking account,1221,6,furniture/equipment,good
51,male,skilled,free,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2892,24,furniture/equipment,good
32,male,skilled,rent,500 <= ... < 1000 DM,no checking account,3062,24,furniture/equipment,good
22,female,skilled,rent,100 <= ... < 500 DM,no checking account,2301,9,furniture/equipment,good
51,male,skilled,free,unknown/ no savings account,< 0 DM,7511,18,car (used),bad
22,female,unskilled and resident,rent,< 100 DM,no checking account,1258,12,furniture/equipment,good
54,male,skilled,own,unknown/ no savings account,no checking account,717,24,car (new),good
35,male,unskilled and non-resident,own,unknown/ no savings account,0 <= ... < 200 DM,1549,9,car (new),good
54,male,skilled,free,< 100 DM,no checking account,1597,24,education,good
48,female,unskilled and resident,rent,< 100 DM,0 <= ... < 200 DM,1795,18,radio/television,good
24,female,skilled,own,< 100 DM,< 0 DM,4272,20,furniture/equipment,good
35,male,skilled,own,unknown/ no savings account,no checking account,976,12,radio/television,good
24,female,unskilled and non-resident,rent,unknown/ no savings account,0 <= ... < 200 DM,7472,12,car (new),good
24,male,skilled,own,< 100 DM,< 0 DM,9271,36,car (new),bad
26,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,590,6,radio/television,good
65,male,skilled,own,unknown/ no savings account,no checking account,930,12,radio/television,good
55,male,highly qualified,free,< 100 DM,0 <= ... < 200 DM,9283,42,car (used),good
26,female,unskilled and non-resident,rent,< 100 DM,0 <= ... < 200 DM,1778,15,car (new),bad
26,male,skilled,own,< 100 DM,0 <= ... < 200 DM,907,8,business,good
28,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,484,6,radio/television,good
24,male,skilled,own,< 100 DM,< 0 DM,9629,36,car (used),bad
54,male,skilled,own,< 100 DM,< 0 DM,3051,48,domestic appliances,bad
46,male,skilled,free,< 100 DM,< 0 DM,3931,48,car (new),bad
54,female,skilled,rent,< 100 DM,0 <= ... < 200 DM,7432,36,car (new),good
62,male,skilled,own,500 <= ... < 1000 DM,no checking account,1338,6,domestic appliances,good
24,female,skilled,rent,< 100 DM,no checking account,1554,6,radio/television,good
43,male,highly qualified,own,< 100 DM,< 0 DM,15857,36,others,good
26,male,skilled,own,< 100 DM,< 0 DM,1345,18,radio/television,bad
27,male,skilled,own,< 100 DM,no checking account,1101,12,car (new),good
24,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,3016,12,radio/television,good
41,male,skilled,own,< 100 DM,< 0 DM,2712,36,furniture/equipment,bad
47,male,unskilled and resident,own,< 100 DM,< 0 DM,731,8,car (new),good
35,male,highly qualified,own,< 100 DM,no checking account,3780,18,furniture/equipment,good
30,male,skilled,own,< 100 DM,< 0 DM,1602,21,car (new),good
33,female,skilled,rent,< 100 DM,< 0 DM,3966,18,car (new),bad
36,male,skilled,own,< 100 DM,no checking account,4165,18,business,bad
47,male,skilled,free,unknown/ no savings account,< 0 DM,8335,36,car (used),bad
38,male,skilled,free,unknown/ no savings account,0 <= ... < 200 DM,6681,48,business,good
44,male,skilled,own,500 <= ... < 1000 DM,no checking account,2375,24,business,good
23,female,skilled,rent,< 100 DM,< 0 DM,1216,18,car (new),bad
29,male,skilled,rent,< 100 DM,< 0 DM,11816,45,business,bad
42,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,5084,24,radio/television,good
25,female,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,2327,15,radio/television,bad
48,male,skilled,own,< 100 DM,< 0 DM,1082,12,car (new),bad
21,female,skilled,own,unknown/ no savings account,no checking account,886,12,radio/television,good
23,female,unskilled and resident,rent,< 100 DM,no checking account,601,4,furniture/equipment,good
63,male,skilled,own,< 100 DM,< 0 DM,2957,24,car (used),good
46,male,skilled,own,< 100 DM,no checking account,2611,24,radio/television,good
29,male,skilled,own,< 100 DM,< 0 DM,5179,36,furniture/equipment,bad
28,male,unskilled and resident,own,< 100 DM,no checking account,2993,21,car (used),good
23,female,skilled,own,< 100 DM,no checking account,1943,18,repairs,bad
50,male,skilled,own,< 100 DM,no checking account,1559,24,business,good
47,male,skilled,own,< 100 DM,no checking account,3422,18,furniture/equipment,good
35,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,3976,21,furniture/equipment,good
68,male,skilled,rent,unknown/ no savings account,no checking account,6761,18,car (new),bad
28,male,skilled,own,< 100 DM,no checking account,1249,24,car (new),good
59,male,skilled,own,< 100 DM,< 0 DM,1364,9,radio/television,good
57,male,unskilled and resident,own,< 100 DM,< 0 DM,709,12,radio/television,bad
33,male,skilled,rent,< 100 DM,< 0 DM,2235,20,car (new),bad
43,male,skilled,own,unknown/ no savings account,no checking account,4042,24,car (used),good
35,male,skilled,free,< 100 DM,no checking account,1471,15,radio/television,good
32,male,unskilled and resident,free,< 100 DM,< 0 DM,1442,18,car (new),bad
45,male,skilled,own,< 100 DM,no checking account,10875,36,car (new),good
33,male,skilled,own,100 <= ... < 500 DM,no checking account,1474,24,car (new),good
40,female,skilled,own,unknown/ no savings account,no checking account,894,10,retraining,good
28,male,skilled,free,< 100 DM,no checking account,3343,15,furniture/equipment,good
29,female,skilled,own,< 100 DM,< 0 DM,3959,15,car (new),bad
26,male,skilled,rent,100 <= ... < 500 DM,no checking account,3577,9,car (new),good
27,male,skilled,own,>= 1000 DM,no checking account,5804,24,car (used),good
28,male,skilled,own,< 100 DM,no checking account,2169,18,business,bad
35,female,skilled,own,< 100 DM,< 0 DM,2439,24,radio/television,bad
32,male,unskilled and resident,own,>= 1000 DM,no checking account,4526,27,furniture/equipment,good
25,male,unskilled and resident,rent,< 100 DM,no checking account,2210,10,furniture/equipment,bad
20,female,skilled,rent,500 <= ... < 1000 DM,no checking account,2221,15,furniture/equipment,good
27,female,skilled,own,< 100 DM,< 0 DM,2389,18,radio/television,good
42,male,skilled,own,< 100 DM,no checking account,3331,12,furniture/equipment,good
37,male,skilled,own,unknown/ no savings account,no checking account,7409,36,business,good
24,female,skilled,rent,< 100 DM,< 0 DM,652,12,furniture/equipment,good
40,female,skilled,own,500 <= ... < 1000 DM,no checking account,7678,36,furniture/equipment,good
46,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,1343,6,car (new),good
26,male,skilled,own,100 <= ... < 500 DM,< 0 DM,1382,24,business,good
24,female,skilled,own,unknown/ no savings account,no checking account,874,15,domestic appliances,good
29,male,unskilled and resident,own,< 100 DM,< 0 DM,3590,12,furniture/equipment,good
40,female,skilled,own,>= 1000 DM,0 <= ... < 200 DM,1322,11,car (new),good
36,male,highly qualified,free,< 100 DM,< 0 DM,1940,18,radio/television,good
28,male,skilled,own,< 100 DM,no checking account,3595,36,radio/television,good
27,male,highly qualified,free,< 100 DM,< 0 DM,1422,9,car (new),bad
36,male,skilled,own,unknown/ no savings account,no checking account,6742,30,radio/television,good
38,male,highly qualified,own,< 100 DM,no checking account,7814,24,car (used),good
48,male,skilled,free,unknown/ no savings account,no checking account,9277,24,car (used),good
36,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2181,30,car (new),good
65,female,unskilled and non-resident,own,< 100 DM,no checking account,1098,18,radio/television,good
43,male,skilled,own,< 100 DM,0 <= ... < 200 DM,4057,24,furniture/equipment,bad
53,female,skilled,own,< 100 DM,< 0 DM,795,12,education,bad
34,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2825,24,business,good
23,male,skilled,own,< 100 DM,0 <= ... < 200 DM,15672,48,business,bad
34,male,highly qualified,own,< 100 DM,no checking account,6614,36,car (new),good
40,male,skilled,rent,unknown/ no savings account,no checking account,7824,28,car (used),good
43,male,highly qualified,own,< 100 DM,< 0 DM,2442,27,business,good
46,male,skilled,own,< 100 DM,no checking account,1829,15,radio/television,good
38,male,unskilled and resident,own,< 100 DM,< 0 DM,2171,12,car (new),good
34,male,skilled,own,< 100 DM,0 <= ... < 200 DM,5800,36,car (used),good
29,male,skilled,own,unknown/ no savings account,no checking account,1169,18,radio/television,good
31,male,highly qualified,own,unknown/ no savings account,no checking account,8947,36,car (used),good
28,female,highly qualified,rent,< 100 DM,< 0 DM,2606,21,radio/television,good
35,female,skilled,own,>= 1000 DM,no checking account,1592,12,furniture/equipment,good
33,female,unskilled and resident,rent,unknown/ no savings account,no checking account,2186,15,furniture/equipment,good
42,male,skilled,own,< 100 DM,< 0 DM,4153,18,furniture/equipment,bad
43,male,skilled,rent,< 100 DM,< 0 DM,2625,16,car (new),bad
44,male,skilled,own,unknown/ no savings account,no checking account,3485,20,car (new),good
42,male,skilled,free,unknown/ no savings account,no checking account,10477,36,car (used),good
40,male,skilled,rent,unknown/ no savings account,no checking account,1386,15,radio/television,good
36,male,highly qualified,own,< 100 DM,no checking account,1278,24,radio/television,good
20,male,highly qualified,rent,< 100 DM,< 0 DM,1107,12,radio/television,good
24,male,unskilled and resident,own,unknown/ no savings account,< 0 DM,3763,21,car (new),good
27,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,3711,36,education,good
46,female,unskilled and resident,own,< 100 DM,no checking account,3594,15,car (used),good
33,female,unskilled and resident,own,unknown/ no savings account,0 <= ... < 200 DM,3195,9,car (new),good
34,female,skilled,own,< 100 DM,no checking account,4454,36,radio/television,good
25,female,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,4736,24,furniture/equipment,bad
25,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2991,30,radio/television,good
28,male,skilled,own,>= 1000 DM,no checking account,2142,11,business,good
31,male,skilled,rent,< 100 DM,< 0 DM,3161,24,business,bad
32,female,highly qualified,own,< 100 DM,0 <= ... < 200 DM,18424,48,others,bad
32,male,skilled,own,100 <= ... < 500 DM,no checking account,2848,10,car (used),good
68,male,highly qualified,own,< 100 DM,< 0 DM,14896,6,car (new),bad
33,male,skilled,own,100 <= ... < 500 DM,< 0 DM,2359,24,furniture/equipment,bad
39,male,highly qualified,rent,< 100 DM,< 0 DM,3345,24,furniture/equipment,bad
28,female,skilled,own,< 100 DM,no checking account,1817,18,furniture/equipment,good
37,male,highly qualified,own,500 <= ... < 1000 DM,no checking account,12749,48,radio/television,good
22,female,skilled,rent,< 100 DM,< 0 DM,1366,9,radio/television,bad
30,male,skilled,rent,< 100 DM,0 <= ... < 200 DM,2002,12,car (new),good
55,male,skilled,own,< 100 DM,< 0 DM,6872,24,furniture/equipment,bad
46,male,skilled,own,< 100 DM,< 0 DM,697,12,car (new),bad
21,female,skilled,rent,< 100 DM,< 0 DM,1049,18,furniture/equipment,good
39,male,skilled,free,< 100 DM,< 0 DM,10297,48,car (used),bad
58,male,skilled,own,unknown/ no savings account,no checking account,1867,30,radio/television,good
43,male,unskilled and resident,own,< 100 DM,< 0 DM,1344,12,car (new),good
24,male,unskilled and resident,own,< 100 DM,< 0 DM,1747,24,furniture/equipment,good
22,female,skilled,own,< 100 DM,0 <= ... < 200 DM,1670,9,radio/television,bad
30,male,skilled,own,< 100 DM,no checking account,1224,9,car (new),good
42,male,skilled,own,500 <= ... < 1000 DM,no checking account,522,12,radio/television,good
23,female,skilled,own,< 100 DM,< 0 DM,1498,12,radio/television,good
30,male,highly qualified,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1919,30,radio/television,bad
28,female,unskilled and resident,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,745,9,radio/television,bad
30,male,highly qualified,rent,< 100 DM,0 <= ... < 200 DM,2063,6,radio/television,good
42,male,skilled,free,< 100 DM,0 <= ... < 200 DM,6288,60,education,bad
46,male,highly qualified,own,unknown/ no savings account,no checking account,6842,24,car (used),good
45,male,highly qualified,own,unknown/ no savings account,no checking account,3527,12,car (new),good
31,male,unskilled and resident,own,< 100 DM,no checking account,1546,10,car (new),good
31,male,skilled,own,unknown/ no savings account,no checking account,929,24,furniture/equipment,good
42,male,unskilled and resident,own,< 100 DM,no checking account,1455,4,car (new),good
46,female,skilled,rent,< 100 DM,< 0 DM,1845,15,furniture/equipment,good
30,female,skilled,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,8358,48,car (new),good
30,male,skilled,free,500 <= ... < 1000 DM,< 0 DM,3349,24,furniture/equipment,bad
38,male,highly qualified,own,unknown/ no savings account,no checking account,2859,12,car (new),good
43,male,unskilled and resident,own,< 100 DM,no checking account,1533,18,furniture/equipment,bad
31,male,skilled,own,100 <= ... < 500 DM,no checking account,3621,24,radio/television,bad
40,male,unskilled and non-resident,own,< 100 DM,0 <= ... < 200 DM,3590,18,business,good
24,male,skilled,own,< 100 DM,< 0 DM,2145,36,business,bad
28,female,skilled,rent,500 <= ... < 1000 DM,0 <= ... < 200 DM,4113,24,car (used),bad
26,female,highly qualified,own,< 100 DM,no checking account,10974,36,furniture/equipment,bad
29,female,skilled,own,< 100 DM,< 0 DM,1893,12,car (new),good
57,female,highly qualified,rent,>= 1000 DM,< 0 DM,1231,24,radio/television,good
49,male,unskilled and resident,own,unknown/ no savings account,>= 200 DM / salary assignments for at least 1 year,3656,30,radio/television,good
37,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1154,9,radio/television,good
45,male,unskilled and resident,own,< 100 DM,< 0 DM,4006,28,car (new),bad
30,male,skilled,free,100 <= ... < 500 DM,0 <= ... < 200 DM,3069,24,furniture/equipment,good
30,male,skilled,rent,< 100 DM,no checking account,1740,6,radio/television,good
47,male,skilled,own,< 100 DM,0 <= ... < 200 DM,2353,21,car (new),good
29,male,skilled,own,unknown/ no savings account,no checking account,3556,15,car (new),good
35,male,skilled,own,500 <= ... < 1000 DM,no checking account,2397,24,radio/television,bad
22,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,454,6,repairs,good
26,female,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,1715,30,radio/television,good
23,male,unskilled and resident,own,500 <= ... < 1000 DM,0 <= ... < 200 DM,2520,27,radio/television,bad
54,female,highly qualified,rent,< 100 DM,no checking account,3568,15,radio/television,good
29,male,skilled,rent,unknown/ no savings account,no checking account,7166,42,radio/television,good
40,male,unskilled and resident,own,< 100 DM,< 0 DM,3939,11,car (new),good
22,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,1514,15,repairs,good
43,male,unskilled and resident,own,< 100 DM,no checking account,7393,24,car (new),good
29,female,unskilled and non-resident,rent,< 100 DM,< 0 DM,1193,24,car (new),bad
36,male,skilled,rent,< 100 DM,< 0 DM,7297,60,business,bad
33,female,skilled,own,< 100 DM,no checking account,2831,30,radio/television,good
57,female,unskilled and resident,own,500 <= ... < 1000 DM,>= 200 DM / salary assignments for at least 1 year,1258,24,radio/television,good
64,female,skilled,own,< 100 DM,0 <= ... < 200 DM,753,6,radio/television,good
42,male,skilled,own,unknown/ no savings account,0 <= ... < 200 DM,2427,18,business,good
47,male,unskilled and resident,own,< 100 DM,no checking account,2538,24,car (new),bad
25,male,skilled,rent,100 <= ... < 500 DM,0 <= ... < 200 DM,1264,15,car (new),bad
49,male,skilled,own,< 100 DM,0 <= ... < 200 DM,8386,30,furniture/equipment,bad
33,male,highly qualified,rent,< 100 DM,no checking account,4844,48,business,bad
28,female,highly qualified,own,100 <= ... < 500 DM,>= 200 DM / salary assignments for at least 1 year,2923,21,car (new),good
26,male,skilled,own,< 100 DM,< 0 DM,8229,36,car (used),bad
30,male,unskilled and resident,own,< 100 DM,no checking account,2028,24,furniture/equipment,good
25,female,skilled,rent,< 100 DM,< 0 DM,1433,15,furniture/equipment,good
33,male,skilled,own,< 100 DM,>= 200 DM / salary assignments for at least 1 year,6289,42,business,good
64,female,skilled,own,100 <= ... < 500 DM,no checking account,1409,13,radio/television,good
29,male,highly qualified,free,< 100 DM,< 0 DM,6579,24,car (used),good
48,male,unskilled and resident,own,< 100 DM,0 <= ... < 200 DM,1743,24,radio/television,good
37,male,unskilled and resident,own,unknown/ no savings account,no checking account,3565,12,education,good
34,male,unskilled and resident,own,100 <= ... < 500 DM,no checking account,1569,15,radio/television,good
23,male,unskilled and resident,rent,unknown/ no savings account,< 0 DM,1936,18,radio/television,good
30,male,highly qualified,own,< 100 DM,< 0 DM,3959,36,furniture/equipment,good
50,male,skilled,own,unknown/ no savings account,no checking account,2390,12,car (new),good
31,female,unskilled and resident,own,< 100 DM,no checking account,1736,12,furniture/equipment,good
40,male,highly qualified,own,< 100 DM,< 0 DM,3857,30,car (used),good
38,male,skilled,own,< 100 DM,no checking account,804,12,radio/television,good
23,male,skilled,free,< 100 DM,< 0 DM,1845,45,radio/television,bad
27,male,skilled,own,100 <= ... < 500 DM,0 <= ... < 200 DM,4576,45,car (used),good
